"user_id","birthday","gender","photo_count","profile_score","profile_tier","bio","characters","height","body_type","blood_type","education","school","job","company","religion","smoking","drinking","region","state","locality","longitude","latitude","current_region","language","is_out","is_deactivated","is_blocked","phone_number","facebook_email_address","account_created_at","is_confirm","confirm_admin_id","admin_confirmed_at","rating_completed_at","sign_up_completed","stage","stage_updated_at","last_activity_at"
1867728,"1997-02-06","F",6,59.98,"Gold",NULL,NULL,156,"BF01",NULL,"UE03",NULL,290,NULL,"UR00","SM02","DR01","KR","경기도","수원시",127.0286,37.2636,"KR","ko","Y","Y",NULL,NULL,NULL,"2019-02-21 15:00:22","Y",63,"2019-02-21 15:16:36","2019-02-21 15:17:47","Y",NULL,"2019-02-21 15:26:14","2019-02-21 15:38:31"
1867729,"1999-06-14","F",3,49.67,"Silver",NULL,NULL,160,"BF05",NULL,"UE03",NULL,7,NULL,"UR00","SM02","DR01","KR","전라북도","군산시",126.7366,35.9677,"KR","ko","Y","Y",NULL,NULL,NULL,"2019-02-21 15:00:32","Y",63,"2019-02-21 15:25:20","2019-02-21 15:26:48","Y",NULL,"2019-02-21 15:26:55","2019-02-21 16:08:26"
1867731,"2000-06-16","F",4,66.88,"Diamond",NULL,NULL,161,"BF00",NULL,"UE01",NULL,7,NULL,"UR01","SM02","DR02","KR","","서울특별시",126.9780,37.5665,"KR","ko","Y","Y",NULL,NULL,NULL,"2019-02-21 15:01:51","Y",63,"2019-02-21 15:10:03","2019-02-21 15:12:14","Y",NULL,"2019-02-21 15:12:34","2019-02-21 15:16:44"
1867733,"1997-10-01","F",6,54.04,"Gold",NULL,NULL,161,"BF05",NULL,"UE01","",3,NULL,"UR01","SM01","DR01","KR","경기도","평택시",127.1129,36.9921,"KR","ko","Y","Y",NULL,NULL,"nate.com","2019-02-21 15:02:53","Y",63,"2019-02-21 15:16:30","2019-02-21 15:17:43","Y",NULL,"2019-02-21 15:36:38","2019-02-21 15:47:52"
1867734,"1993-03-03","F",4,87.65,"Diamond","혼자사는데   저랑 술친구 밥친구 톡친구 해요  카톡T886",NULL,165,"BF02",NULL,"UE02",NULL,6,NULL,"UR00","SM02","DR01","KR","","서울특별시",126.9987,37.5391,"KR","ko","N","Y","Y",NULL,"hotmail","2019-02-21 15:02:59","Y",63,"2019-02-21 15:10:23","2019-02-21 15:11:19","Y",NULL,"2019-02-21 15:11:53","2019-02-21 15:11:56"
1867735,"1991-04-20","F",2,66.50,"Diamond",NULL,NULL,160,"BF04",NULL,"UE03",NULL,7,NULL,"UR01","SM02","DR02","KR","","서울특별시",126.9780,37.5665,"KR","ko","N","N",NULL,+8210,NULL,"2019-02-21 15:03:45","Y",63,"2019-02-21 15:10:25","2019-02-21 15:11:17","Y",NULL,"2019-02-21 15:11:24","2019-03-15 09:04:39"
1867739,"2000-09-18","F",5,NULL,NULL,NULL,"",165,"BF01","A","UE01",NULL,7,NULL,"UR02","SM02","DR01","KR","","Seoul",126.9780,37.5665,"MY","en","Y","Y",NULL,NULL,NULL,"2019-02-21 15:04:10","N",63,"2019-02-21 15:10:53",NULL,"N","Review","2019-02-21 15:08:52","2019-02-22 16:28:34"
1867742,"1984-01-10","F",6,54.53,"Gold",NULL,NULL,170,"BF02",NULL,"UE04",NULL,6,NULL,"UR01","SM02","DR01","KR","","Seoul",126.9780,37.5665,"KR","en","Y","Y",NULL,NULL,"hotmail.c","2019-02-21 15:07:15","Y",63,"2019-02-21 15:16:17","2019-02-21 15:17:35","Y",NULL,"2019-02-21 15:20:27","2019-03-03 17:47:05"
1867743,"1987-10-10","F",5,60.15,"Gold",NULL,NULL,165,"BF02",NULL,"UE03",NULL,243,NULL,"UR00","SM02","DR02","KR","","서울특별시",126.9780,37.5665,"KR","ko","N","Y",NULL,NULL,"nate.","2019-02-21 15:07:33","Y",63,"2019-02-21 15:16:18","2019-02-21 15:17:14","Y",NULL,"2019-02-21 17:14:42","2019-02-24 06:08:56"
1867747,"1999-06-30","F",6,NULL,NULL,NULL,NULL,154,"BF02",NULL,"UE01",NULL,1,NULL,"UR03","SM02","DR02","KR","","서울특별시",126.9780,37.5665,"KR","ko","N","Y",NULL,+8210,NULL,"2019-02-21 15:09:18","N",63,"2019-02-21 15:25:23",NULL,"N","Review","2019-02-21 15:19:14","2019-02-21 15:17:44"
