Date,UID,Age
20190131,OBE_WJ_1001,段3
20190131,OBE_WJ_1002,段1
20190131,OBE_WJ_1003,段5
20190131,OBE_WJ_1004,段3
20190201,OBE_WJ_1005,段2
20190201,OBE_WJ_1006,段3
20190201,OBE_WJ_1007,段3
20190202,OBE_WJ_1008,段2
20190202,OBE_WJ_1009,段6
20190202,OBE_WJ_1010,段3
20190202,OBE_WJ_1011,段2
20190202,OBE_WJ_1012,段3
20190202,OBE_WJ_1013,段1
20190208,OBE_WJ_1014,段5
20190208,OBE_WJ_1015,段2
20190208,OBE_WJ_1016,段1
20190208,OBE_WJ_1017,段3
20190208,OBE_WJ_1018,段3
20190208,OBE_WJ_1019,段6
20190208,OBE_WJ_1020,段3
20190208,OBE_WJ_1021,段2
20190208,OBE_WJ_1022,段4
20190208,OBE_WJ_1023,段1
20190208,OBE_WJ_1024,段2
20190208,OBE_WJ_1025,掻1
20190208,OBE_WJ_1026,段3
20190208,OBE_WJ_1027,段6
20190208,OBE_WJ_1028,段4
20190208,OBE_WJ_1029,段1
20190208,OBE_WJ_1030,段4
20190208,OBE_WJ_1031,段1
20190208,OBE_WJ_1032,段2
20190208,OBE_WJ_1033,段3
20190208,OBE_WJ_1034,段4
20190208,OBE_WJ_1035,段2
20190211,OBE_WJ_1036,段5
20190211,OBE_WJ_1037,段2
20190211,OBE_WJ_1038,段2
20190211,OBE_WJ_1039,段1
20190211,OBE_WJ_1040,段4
20190211,OBE_WJ_1041,段6
20190211,OBE_WJ_1042,段2
20190211,OBE_WJ_1043,段4
20190211,OBE_WJ_1044,段1
20190211,OBE_WJ_1045,段2
20190211,OBE_WJ_1046,段2
20190211,OBE_WJ_1047,段5
20190211,OBE_WJ_1048,段5
20190211,OBE_WJ_1049,段6
20190211,OBE_WJ_1050,段2
20190211,OBE_WJ_1051,段4
20190211,OBE_WJ_1052,段1
20190211,OBE_WJ_1053,段2
20190211,OBE_WJ_1054,段2
20190212,OBE_WJ_1055,段2
20190212,OBE_WJ_1056,段4
20190212,OBE_WJ_1057,掻1
20190212,OBE_WJ_1058,段3
20190212,OBE_WJ_1059,掻1
20190212,OBE_WJ_1060,段2
20190212,OBE_WJ_1061,段3
20190212,OBE_WJ_1062,掻1
20190212,OBE_WJ_1063,段1
20190212,OBE_WJ_1064,段2
20190212,OBE_WJ_1065,段2
20190212,OBE_WJ_1066,段5
20190212,OBE_WJ_1067,段6
20190212,OBE_WJ_1068,段6
20190213,OBE_WJ_1069,段3
20190213,OBE_WJ_1070,
20190213,OBE_WJ_1071,段1
20190213,OBE_WJ_1072,
20190213,OBE_WJ_1073,段3
20190213,OBE_WJ_1074,
20190213,OBE_WJ_1075,段5
20190213,OBE_WJ_1076,段4
20190213,OBE_WJ_1077,段3
20190213,OBE_WJ_1078,段
20190213,OBE_WJ_1079,段2
20190213,OBE_WJ_1080,
20190213,OBE_WJ_1081,段2
20190213,OBE_WJ_1082,
20190213,OBE_WJ_1083,段1
20190213,OBE_WJ_1084,段3
20190213,OBE_WJ_1085,段1
20190214,OBE_WJ_1086,段6
20190214,OBE_WJ_1087,段3
20190214,OBE_WJ_1088,段6
20190214,OBE_WJ_1089,段3
20190214,OBE_WJ_1090,掻1
20190214,OBE_WJ_1091,段3
20190214,OBE_WJ_1092,段6
20190214,OBE_WJ_1093,段2
20190214,OBE_WJ_1094,段5
20190214,OBE_WJ_1095,段4
20190214,OBE_WJ_1096,段1
20190214,OBE_WJ_1097,段3
20190214,OBE_WJ_1098,段1
20190214,OBE_WJ_1099,段3
20190214,OBE_WJ_1100,段2
20190214,OBE_WJ_1101,段3
20190214,OBE_WJ_1102,段1
20190214,OBE_WJ_1103,段4
20190214,OBE_WJ_1104,段1
20190218,OBE_WJ_1105,段3
20190218,OBE_WJ_1106,段1
20190218,OBE_WJ_1107,段2
20190218,OBE_WJ_1108,段4
20190218,OBE_WJ_1109,段1
20190218,OBE_WJ_1110,段4
20190218,OBE_WJ_1111,段6
20190218,OBE_WJ_1112,段4
20190218,OBE_WJ_1113,段2
20190218,OBE_WJ_1114,段4
20190218,OBE_WJ_1115,段5
20190218,OBE_WJ_1116,段3
20190218,OBE_WJ_1117,段1
20190218,OBE_WJ_1118,段2
20190218,OBE_WJ_1119,段5
20190218,OBE_WJ_1120,段6
20190218,OBE_WJ_1121,段2
20190218,OBE_WJ_1122,段3
20190218,OBE_WJ_1123,段5
20190219,OBE_WJ_1124,段3
20190219,OBE_WJ_1125,段1
20190219,OBE_WJ_1126,段5
20190219,OBE_WJ_1127,段1
20190219,OBE_WJ_1128,段3
20190219,OBE_WJ_1129,段3
20190219,OBE_WJ_1130,段4
20190219,OBE_WJ_1131,段3
20190219,OBE_WJ_1132,段5
20190219,OBE_WJ_1133,段2
20190219,OBE_WJ_1134,段4
20190219,OBE_WJ_1135,段4
20190219,OBE_WJ_1136,段2
20190219,OBE_WJ_1137,段2
20190219,OBE_WJ_1138,段6
20190219,OBE_WJ_1139,段6
20190219,OBE_WJ_1140,段1
20190219,OBE_WJ_1141,段2
20190219,OBE_WJ_1142,段6
20190220,OBE_WJ_1143,段2
20190220,OBE_WJ_1144,段2
20190220,OBE_WJ_1145,段2
20190220,OBE_WJ_1146,段2
20190220,OBE_WJ_1147,段2
20190220,OBE_WJ_1148,段3
20190220,OBE_WJ_1149,段2
20190220,OBE_WJ_1150,段3
20190220,OBE_WJ_1151,段4
20190220,OBE_WJ_1152,段5
20190220,OBE_WJ_1153,掻1
20190220,OBE_WJ_1154,段5
20190220,OBE_WJ_1155,段1
