school_code,latitude,longitude,school_class,operation_type,highschool_type,gender,foundation_date,address_by_law
S000003511,37.49087951,127.0150822,elementary,national,,both,1953.1.31,1165010800
S000003563,37.57778205,127.0029147,elementary,national,,both,1946.8.22,1111016800
S010000737,37.48136599,127.05905520000002,elementary,public,,both,1982.9.20,1168010300
S010000738,37.48574428,127.05800220000002,elementary,public,,both,1987.11.17,1168010300
S010000741,37.48080548,127.051891,elementary,public,,both,1983.11.30,1168010300
S010000742,37.5084232,127.02618670000001,elementary,public,,both,1972.11.23,1168010800
S010000743,37.49439753,127.06516450000001,elementary,public,,both,1981.9.9,1168010600
S010000744,37.49260076,127.0535537,elementary,public,,both,1979.3.27,1168011800
S010000745,37.48113529,127.0863007,elementary,public,,both,1994.8.5,1168011400
S010000746,37.46424569,127.10561840000001,elementary,public,,both,1932.11.25,1168011100
S010000747,37.49668479,127.07804250000001,elementary,public,,both,1992.7.15,1168010300
S010000748,37.49283342,127.08792509999999,elementary,public,,both,1993.2.27,1168011400
S010000749,37.49098220000001,127.062292,elementary,public,,both,1984.5.9,1168010600
S010000750,37.50391526,127.06370990000002,elementary,public,,both,1984.12.5,1168010600
S010000751,37.49906114,127.05467040000002,elementary,public,,both,1974.9.1,1168010600
S010000752,37.500908,127.0491834,elementary,public,,both,1981.6.13,1168010100
S010000753,37.51002963,127.00405359999999,elementary,public,,both,1981.8.5,1165010600
S010000754,37.50315802,126.9910009,elementary,public,,both,1974.3.20,1165010700
S010000755,37.48748657,126.98719240000001,elementary,public,,both,1975.9.12,1165010100
S010000756,37.48536558,126.99810179999999,elementary,public,,both,1984.7.30,1165010100
S010000757,37.47648995,126.99015,elementary,public,,both,1990.4.6,1165010100
S010000758,37.52038242,127.0608483,elementary,public,,both,1982.4.7,1168010500
S010000759,37.51292228,127.0471068,elementary,public,,both,1985.4.29,1168010500
S010000760,37.49629538,126.98930829999999,elementary,public,,both,1983.4.4,1165010100
S010000761,37.50261842,127.01521909999998,elementary,public,,both,1984.11.30,1165010700
S010000762,37.49120943,127.0259479,elementary,public,,both,1983.12.3,1165010800
S010000763,37.48477207,127.0226321,elementary,public,,both,1986.10.16,1165010800
S010000764,37.49924055,127.02410800000001,elementary,public,,both,1982.11.3,1165010800
S010000765,37.49102353,127.1015496,elementary,public,,both,1992.7.15,1168011500
S010000766,37.52318884,127.0242775,elementary,public,,both,1981.11.3,1168010700
S010000767,37.51689205,127.01189790000001,elementary,public,,both,1946.4.2,1165010600
S010000768,37.47992822,127.0097922,elementary,public,,both,1936.6.1,1165010800
S010000769,37.53137101,127.03084409999998,elementary,public,,both,1976.8.20,1168011000
S010000770,37.47387453,127.03199380000001,elementary,public,,both,1983.7.19,1165010200
S010000771,37.49047397,127.0700626,elementary,public,,both,1988.12.21,1168010300
S010000772,37.45391848,127.06144750000001,elementary,public,,both,1934.4.16,1165010900
S010000773,37.51996031,127.04563940000001,elementary,public,,both,1945.4.1,1168010400
S010000774,37.48655528,127.03703929999999,elementary,public,,both,1927.9.16,1168011800
S010000775,37.49316528,127.0326527,elementary,public,,both,1978.7.21,1168010100
S010000776,37.49192076,127.0812703,elementary,public,,both,1946.10.1,1168011400
S010000777,37.48616111,127.08653149999999,elementary,public,,both,1963.10.31,1168011500
S010000778,37.47185411,127.02452959999998,elementary,public,,both,1994.8.5,1165010300
S010000779,37.50079587,127.0169088,elementary,public,,both,1989.7.4,1165010800
S010000780,37.50603606,127.01277209999999,elementary,public,,both,1979.9.18,1165010700
S010000781,37.47809898,126.98456499999999,elementary,public,,both,1977.9.1,1165010100
S010000782,37.48947305,127.0763669,elementary,public,,both,1984.10.10,1168011400
S010000783,37.50154786,126.9980966,elementary,public,,both,1978.8.30,1165010700
S010000784,37.52797617,127.0450453,elementary,public,,both,1980.3.1,1168010400
S010000785,37.47562093,127.05234850000001,elementary,public,,both,1990.10.24,1168010300
S010000786,37.51212997,127.0398509,elementary,public,,both,1979.1.26,1168010800
S010000897,37.49713482,127.13038759999999,elementary,public,,both,1990.4.25,1171010700
S010000899,37.4891201,127.11140549999999,elementary,public,,both,1988.12.8,1171010800
S010000900,37.49662263,127.12926170000001,elementary,public,,both,1996.8.10,1171010700
S010000902,37.54590977,127.1299696,elementary,public,,both,1976.8.18,1174010900
S010000903,37.56501397,127.1772858,elementary,public,,both,1993.7.20,1174011000
S010000904,37.50508433,127.1409011,elementary,public,,both,1967.9.15,1171011200
S010000905,37.48782967,127.14490900000001,elementary,public,,both,1997.9.1,1171011300
S010000906,37.56073087,127.1665805,elementary,public,,both,1983.12.3,1174010200
S010000907,37.55303605,127.14690459999998,elementary,public,,both,1982.3.1,1174010100
S010000909,37.5385062,127.14481440000002,elementary,public,,both,1973.1.6,1174010500
S010000910,37.50126873,127.15079509999998,elementary,public,,both,1983.12.3,1171011400
S010000911,37.54716438,127.15328970000002,elementary,public,,both,1986.3.1,1174010100
S010000913,37.49535028,127.1522973,elementary,public,,both,1978.2.1,1171011400
S010000914,37.55689629,127.14600779999999,elementary,public,,both,1984.12.5,1174010200
S010000915,37.55093358,127.1504189,elementary,public,,both,1986.12.17,1174010100
S010000916,37.55446222,127.1420935,elementary,public,,both,1980.5.10,1174010700
