trials.thisTrialN,trials.stepSize,trials.intensity,trials.result,date,expName,participant,ori,
0,0.8,0.5,1,2012_Jul_04_1328,psychophysicsStaircase,s_001,10,
1,0.8,0.0792446596231,1,2012_Jul_04_1328,psychophysicsStaircase,s_001,10,
2,0.8,0.0125594321575,1,2012_Jul_04_1328,psychophysicsStaircase,s_001,10,
3,0.8,0.00199053585277,1,2012_Jul_04_1328,psychophysicsStaircase,s_001,10,
4,0.8,0.00031547867224,0,2012_Jul_04_1328,psychophysicsStaircase,s_001,10,
5,0.8,0.00199053585277,1,2012_Jul_04_1328,psychophysicsStaircase,s_001,10,
6,0.8,0.00199053585277,1,2012_Jul_04_1328,psychophysicsStaircase,s_001,10,
7,0.4,0.00199053585277,1,2012_Jul_04_1328,psychophysicsStaircase,s_001,10,
8,0.4,0.00031547867224,1,2012_Jul_04_1328,psychophysicsStaircase,s_001,10,
9,0.4,0.00031547867224,1,2012_Jul_04_1328,psychophysicsStaircase,s_001,10,
10,0.4,0.00031547867224,1,2012_Jul_04_1328,psychophysicsStaircase,s_001,10,
11,0.4,0.000125594321575,0,2012_Jul_04_1328,psychophysicsStaircase,s_001,10,
12,0.4,0.00031547867224,1,2012_Jul_04_1328,psychophysicsStaircase,s_001,10,
13,0.4,0.00031547867224,1,2012_Jul_04_1328,psychophysicsStaircase,s_001,10,
14,0.4,0.00031547867224,0,2012_Jul_04_1328,psychophysicsStaircase,s_001,10,
15,0.4,0.000792446596231,0,2012_Jul_04_1328,psychophysicsStaircase,s_001,10,
16,0.4,0.00199053585277,0,2012_Jul_04_1328,psychophysicsStaircase,s_001,10,
17,0.4,0.005,0,2012_Jul_04_1328,psychophysicsStaircase,s_001,10,
18,0.4,0.0125594321575,1,2012_Jul_04_1328,psychophysicsStaircase,s_001,10,
19,0.4,0.0125594321575,1,2012_Jul_04_1328,psychophysicsStaircase,s_001,10,
20,0.2,0.0125594321575,1,2012_Jul_04_1328,psychophysicsStaircase,s_001,10,
21,0.2,0.005,1,2012_Jul_04_1328,psychophysicsStaircase,s_001,10,
22,0.2,0.005,1,2012_Jul_04_1328,psychophysicsStaircase,s_001,10,
23,0.2,0.005,1,2012_Jul_04_1328,psychophysicsStaircase,s_001,10,
24,0.2,0.0031547867224,1,2012_Jul_04_1328,psychophysicsStaircase,s_001,10,
25,0.2,0.0031547867224,1,2012_Jul_04_1328,psychophysicsStaircase,s_001,10,
26,0.2,0.0031547867224,1,2012_Jul_04_1328,psychophysicsStaircase,s_001,10,
27,0.2,0.00199053585277,0,2012_Jul_04_1328,psychophysicsStaircase,s_001,10,
28,0.2,0.0031547867224,1,2012_Jul_04_1328,psychophysicsStaircase,s_001,10,
29,0.2,0.0031547867224,1,2012_Jul_04_1328,psychophysicsStaircase,s_001,10,
